device_name,device_type,eq_variant,data_source,loss_type,score_before_eq,score_with_eq,score_delta,preamp_db,num_filters,generator_version,generated_at,source_file,f1_type,f1_fc_hz,f1_gain_db,f1_q,f2_type,f2_fc_hz,f2_gain_db,f2_q,f3_type,f3_fc_hz,f3_gain_db,f3_q,f4_type,f4_fc_hz,f4_gain_db,f4_q,f5_type,f5_fc_hz,f5_gain_db,f5_q,f6_type,f6_fc_hz,f6_gain_db,f6_q,f7_type,f7_fc_hz,f7_gain_db,f7_q,f8_type,f8_fc_hz,f8_gain_db,f8_q,f9_type,f9_fc_hz,f9_gain_db,f9_q,f10_type,f10_fc_hz,f10_gain_db,f10_q,f11_type,f11_fc_hz,f11_gain_db,f11_q,f12_type,f12_fc_hz,f12_gain_db,f12_q,f13_type,f13_fc_hz,f13_gain_db,f13_q,f14_type,f14_fc_hz,f14_gain_db,f14_q,f15_type,f15_fc_hz,f15_gain_db,f15_q,f16_type,f16_fc_hz,f16_gain_db,f16_q,f17_type,f17_fc_hz,f17_gain_db,f17_q,f18_type,f18_fc_hz,f18_gain_db,f18_q,f19_type,f19_fc_hz,f19_gain_db,f19_q,f20_type,f20_fc_hz,f20_gain_db,f20_q,f21_type,f21_fc_hz,f21_gain_db,f21_q,f22_type,f22_fc_hz,f22_gain_db,f22_q,f23_type,f23_fc_hz,f23_gain_db,f23_q,f24_type,f24_fc_hz,f24_gain_db,f24_q,f25_type,f25_fc_hz,f25_gain_db,f25_q,f26_type,f26_fc_hz,f26_gain_db,f26_q,f27_type,f27_fc_hz,f27_gain_db,f27_q,f28_type,f28_fc_hz,f28_gain_db,f28_q,f29_type,f29_fc_hz,f29_gain_db,f29_q,f30_type,f30_fc_hz,f30_gain_db,f30_q,f31_type,f31_fc_hz,f31_gain_db,f31_q
Adam A7V,speaker,lw,Misc,,4.55,5.33,0.7800000000000002,-2.2,7,0.26,2024-09-14-16:53:08,eq/Adam A7V/iir-autoeq-lw.txt,PK,47.0,2.92,2.95,PK,62.0,-1.39,1.99,PK,113.0,-0.55,1.51,PK,600.0,-2.96,3.0,PK,714.0,2.99,3.0,PK,1083.0,-3.03,0.25,PK,1333.0,3.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam A7V,speaker,autoeq,Misc,,4.55,5.77,1.2199999999999998,-2.6,6,0.26,2024-09-14-16:59:25,eq/Adam A7V/iir-autoeq.txt,PK,44.0,2.98,2.89,PK,102.0,-1.13,0.76,PK,299.0,-1.25,1.89,PK,600.0,-3.56,3.0,PK,714.0,3.0,3.0,PK,7308.0,-2.12,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam D3V,speaker,autoeq,ErinsAudioCorner,,5.28,6.17,0.8899999999999997,-2.0,7,0.28,2025-07-22-12:15:35,eq/Adam D3V/iir-autoeq.txt,PK,51.0,2.0,1.56,PK,1202.0,-1.03,2.95,PK,9001.0,2.91,0.25,PK,2765.0,-2.07,1.0,PK,3912.0,2.99,0.5,PK,8397.0,-6.8,0.5,PK,910.0,-0.8,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam S2V,speaker,dbx-1215,ASR,,5.6,5.89,0.29000000000000004,-0.7,15,0.24,2023-08-04-23:30:18,eq/Adam S2V/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.25,2.14,PK,100.0,0.25,2.14,PK,160.0,0.0,2.14,PK,250.0,0.25,2.14,PK,400.0,0.25,2.14,PK,630.0,-0.25,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,-0.25,2.14,PK,2500.0,-0.25,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,-0.5,2.14,PK,10000.0,-0.5,2.14,PK,16000.0,-0.5,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam S2V,speaker,dbx-1231,ASR,,5.6,5.94,0.34000000000000075,-0.8,31,0.24,2023-08-04-23:42:33,eq/Adam S2V/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.5,4.32,PK,31.0,0.5,4.32,PK,40.0,0.5,4.32,PK,50.0,0.5,4.32,PK,63.0,0.25,4.32,PK,80.0,0.25,4.32,PK,100.0,0.25,4.32,PK,125.0,0.25,4.32,PK,160.0,0.25,4.32,PK,200.0,0.25,4.32,PK,250.0,0.25,4.32,PK,315.0,0.25,4.32,PK,400.0,0.25,4.32,PK,500.0,0.25,4.32,PK,630.0,-0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,-0.25,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,0.0,4.32,PK,2000.0,0.0,4.32,PK,2500.0,-0.25,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,0.0,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,-0.25,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,-0.25,4.32,PK,12000.0,-0.25,4.32,PK,16000.0,-0.25,4.32,PK,20000.0,0.0,4.32
Adam S2V,speaker,autoeq,ASR,,5.6,6.35,0.75,-2.3,9,0.24,2023-08-05-04:31:35,eq/Adam S2V/iir-autoeq.txt,PK,52.0,2.21,0.64,PK,280.0,1.15,0.91,PK,447.0,1.28,1.55,PK,625.0,-0.63,2.08,PK,1948.0,1.78,2.88,PK,3930.0,1.4,2.86,PK,5135.0,-1.39,0.58,PK,8199.0,0.5,1.05,PK,11454.0,-0.5,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam S2V,speaker,flipflop,,,,,,-0.8,20,,30-06-2020 14:20:12,eq/Adam S2V/iir-flipflop.txt,PK,340.0,0.8,10.0,PK,400.0,0.7,15.0,PK,485.0,1.5,10.0,PK,597.0,-1.5,5.0,PK,1049.0,-1.8,1.0,PK,1370.0,-0.5,20.0,PK,1660.0,0.8,20.0,PK,1940.0,0.8,40.0,PK,2350.0,-1.2,20.0,PK,2902.0,-1.1,4.178,PK,3979.0,1.4,5.0,PK,5886.0,3.1,5.0,PK,6702.0,-3.8,1.0,PK,7943.0,3.1,5.0,PK,8825.0,-2.7,5.0,PK,9458.0,2.8,5.0,PK,10680.0,-0.7,10.0,PK,11866.0,-1.8,1.0,PK,11950.0,0.8,12.0,PK,17828.0,-1.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T5V,speaker,dbx-1215,ASR,,3.97,4.4,0.43000000000000016,-0.6,15,0.24,2023-08-04-23:33:19,eq/Adam T5V/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.25,2.14,PK,100.0,0.0,2.14,PK,160.0,0.0,2.14,PK,250.0,0.25,2.14,PK,400.0,0.25,2.14,PK,630.0,0.0,2.14,PK,1000.0,0.0,2.14,PK,1600.0,0.0,2.14,PK,2500.0,-0.25,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,-0.5,2.14,PK,10000.0,-0.5,2.14,PK,16000.0,0.0,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T5V,speaker,dbx-1231,ASR,,3.97,4.51,0.5399999999999996,-0.7,31,0.24,2023-08-04-23:43:53,eq/Adam T5V/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.5,4.32,PK,31.0,0.5,4.32,PK,40.0,0.5,4.32,PK,50.0,0.5,4.32,PK,63.0,0.25,4.32,PK,80.0,0.0,4.32,PK,100.0,0.0,4.32,PK,125.0,0.0,4.32,PK,160.0,0.0,4.32,PK,200.0,0.25,4.32,PK,250.0,0.25,4.32,PK,315.0,0.25,4.32,PK,400.0,0.25,4.32,PK,500.0,0.0,4.32,PK,630.0,0.0,4.32,PK,800.0,-0.25,4.32,PK,1000.0,0.0,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,0.0,4.32,PK,2000.0,0.0,4.32,PK,2500.0,-0.25,4.32,PK,3150.0,0.0,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.5,4.32,PK,6300.0,-0.5,4.32,PK,8000.0,-0.5,4.32,PK,10000.0,-0.5,4.32,PK,12000.0,-0.5,4.32,PK,16000.0,0.0,4.32,PK,20000.0,0.0,4.32
Adam T5V,speaker,autoeq,ASR,,4.07,6.01,1.9399999999999995,-3.0,7,0.26,2024-03-19-16:38:56,eq/Adam T5V/iir-autoeq.txt,PK,47.0,2.97,1.58,PK,270.0,1.41,0.92,PK,792.0,2.98,1.59,PK,820.0,-4.69,3.0,PK,3405.0,2.99,1.46,PK,6144.0,-4.04,0.52,PK,14134.0,-1.32,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T5V,speaker,flipflop,,,,,,,19,,05-12-2020 17:08:17,eq/Adam T5V/iir-flipflop.txt,PK,449.0,-0.6,8.0,PK,556.0,-1.4,10.0,PK,618.0,-0.9,19.0,PK,670.0,1.5,18.0,PK,729.0,-2.3,9.0,PK,831.0,-2.2,7.0,PK,947.0,-1.4,10.0,PK,1040.0,1.4,16.0,PK,1120.0,-1.4,18.0,PK,1345.0,-2.9,3.7,PK,1718.0,-1.8,8.0,PK,2070.0,-1.1,15.0,PK,2280.0,0.8,20.0,PK,2492.0,-1.6,14.0,PK,2955.0,-1.3,13.0,PK,3305.0,2.2,6.2,PK,4570.0,3.4,7.0,PK,5250.0,-1.3,3.3,PK,16800.0,2.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T7V,speaker,dbx-1215,Misc,,0.93,1.56,0.63,-0.4,15,0.24,2023-08-04-23:29:47,eq/Adam T7V/iir-autoeq-dbx-1215.txt,PK,25.0,0.0,2.14,PK,40.0,0.0,2.14,PK,63.0,0.0,2.14,PK,100.0,0.0,2.14,PK,160.0,0.0,2.14,PK,250.0,0.25,2.14,PK,400.0,0.25,2.14,PK,630.0,0.25,2.14,PK,1000.0,0.25,2.14,PK,1600.0,-0.25,2.14,PK,2500.0,-0.25,2.14,PK,4000.0,0.0,2.14,PK,6300.0,-0.75,2.14,PK,10000.0,-0.5,2.14,PK,16000.0,-0.5,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T7V,speaker,dbx-1231,Misc,,0.93,1.53,0.6,-0.3,31,0.24,2023-08-04-23:42:09,eq/Adam T7V/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.0,4.32,PK,31.0,0.0,4.32,PK,40.0,0.0,4.32,PK,50.0,0.0,4.32,PK,63.0,0.0,4.32,PK,80.0,0.0,4.32,PK,100.0,0.0,4.32,PK,125.0,0.0,4.32,PK,160.0,0.0,4.32,PK,200.0,0.0,4.32,PK,250.0,0.0,4.32,PK,315.0,0.25,4.32,PK,400.0,0.25,4.32,PK,500.0,0.0,4.32,PK,630.0,0.25,4.32,PK,800.0,-0.25,4.32,PK,1000.0,0.0,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,-0.25,4.32,PK,2000.0,-0.5,4.32,PK,2500.0,0.0,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,0.0,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,-0.5,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,-0.25,4.32,PK,12000.0,0.0,4.32,PK,16000.0,-0.25,4.32,PK,20000.0,0.0,4.32
Adam T7V,speaker,autoeq,Misc,,1.1,3.11,2.01,-1.1,7,0.26,2024-03-19-16:31:36,eq/Adam T7V/iir-autoeq.txt,PK,310.0,0.82,2.99,PK,454.0,2.36,2.99,PK,504.0,-2.26,3.0,PK,1887.0,-2.61,2.37,PK,3289.0,-2.57,3.0,PK,6361.0,-2.67,2.56,PK,9648.0,-2.58,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T8V,speaker,dbx-1215,ASR,,4.49,4.84,0.34999999999999964,-0.3,15,0.24,2023-08-04-23:33:20,eq/Adam T8V/iir-autoeq-dbx-1215.txt,PK,25.0,0.25,2.14,PK,40.0,0.25,2.14,PK,63.0,0.0,2.14,PK,100.0,0.0,2.14,PK,160.0,0.0,2.14,PK,250.0,0.0,2.14,PK,400.0,0.0,2.14,PK,630.0,-0.25,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,0.25,2.14,PK,2500.0,0.25,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,-0.5,2.14,PK,10000.0,-0.5,2.14,PK,16000.0,0.0,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T8V,speaker,dbx-1231,ASR,,4.49,4.91,0.41999999999999993,-0.3,31,0.24,2023-08-04-23:46:06,eq/Adam T8V/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.25,4.32,PK,50.0,0.0,4.32,PK,63.0,0.0,4.32,PK,80.0,0.0,4.32,PK,100.0,0.0,4.32,PK,125.0,0.0,4.32,PK,160.0,0.0,4.32,PK,200.0,0.0,4.32,PK,250.0,0.0,4.32,PK,315.0,0.0,4.32,PK,400.0,0.0,4.32,PK,500.0,0.0,4.32,PK,630.0,-0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,-0.25,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,0.0,4.32,PK,2000.0,0.25,4.32,PK,2500.0,0.0,4.32,PK,3150.0,0.0,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,-0.5,4.32,PK,8000.0,-0.5,4.32,PK,10000.0,-0.5,4.32,PK,12000.0,-0.25,4.32,PK,16000.0,0.0,4.32,PK,20000.0,0.0,4.32
Adam T8V,speaker,autoeq,ASR,,4.65,6.34,1.6899999999999995,-1.8,7,0.26,2024-03-19-16:55:47,eq/Adam T8V/iir-autoeq.txt,PK,36.0,1.81,2.1,PK,178.0,0.46,2.93,PK,1121.0,-2.08,2.97,PK,2245.0,3.0,1.26,PK,4654.0,2.46,2.99,PK,6144.0,-4.53,0.56,PK,12301.0,-0.74,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam T8V,speaker,flipflop,,,,,,,20,,29-10-2020 11:44:47,eq/Adam T8V/iir-flipflop.txt,PK,404.0,0.9,13.0,PK,576.0,-1.8,10.0,PK,1100.0,-2.1,4.0,PK,1631.0,-1.4,15.0,PK,1860.0,-1.0,10.0,PK,2010.0,3.3,2.3,PK,2205.0,-2.7,9.0,PK,2565.0,-1.1,15.0,PK,2765.0,1.5,12.0,PK,3070.0,-1.0,8.0,PK,3635.0,-1.3,15.0,PK,4140.0,-2.5,6.5,PK,4600.0,3.8,12.0,PK,5650.0,-0.9,20.0,PK,6100.0,-1.4,7.0,PK,6580.0,0.9,10.0,PK,8100.0,-2.7,1.5,PK,12070.0,-1.4,3.0,PK,13850.0,1.1,4.0,PK,15700.0,-1.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADS L520,speaker,autoeq,Misc,,4.44,5.61,1.17,-2.8,7,0.26,2024-11-23-15:37:54,eq/ADS L520/iir-autoeq.txt,PK,36.0,3.0,0.77,PK,85.0,-3.38,1.99,PK,139.0,-1.08,1.36,PK,310.0,-0.94,2.82,PK,849.0,-1.28,2.97,PK,1161.0,1.8,2.94,PK,13652.0,-2.62,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advent The New Advent Loudspeaker,speaker,dbx-1215,ASR,,3.02,3.55,0.5299999999999998,-1.0,15,0.24,2023-08-04-23:30:38,eq/Advent The New Advent Loudspeaker/iir-autoeq-dbx-1215.txt,PK,25.0,0.75,2.14,PK,40.0,0.75,2.14,PK,63.0,0.5,2.14,PK,100.0,0.5,2.14,PK,160.0,0.5,2.14,PK,250.0,0.0,2.14,PK,400.0,-0.25,2.14,PK,630.0,-0.25,2.14,PK,1000.0,0.0,2.14,PK,1600.0,-0.25,2.14,PK,2500.0,-0.25,2.14,PK,4000.0,-0.5,2.14,PK,6300.0,-0.25,2.14,PK,10000.0,-0.5,2.14,PK,16000.0,0.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
